Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,76.970001,81.349998,76.589996,81.010002,70.738991,113143600
2013-12-01,80.889999,81.370003,76.809998,78.690002,68.713112,117743800
2014-01-01,78.720001,79.470001,73.639999,74.680000,65.591164,146048800
2014-02-01,74.190002,75.989998,72.269997,74.699997,65.608711,140708800
2014-03-01,74.489998,77.529999,73.830002,76.430000,67.128174,143316900
2014-04-01,76.760002,79.989998,76.290001,79.709999,70.460640,133598600
2014-05-01,79.730003,79.760002,75.239998,76.769997,67.861786,121597900
2014-06-01,76.580002,77.760002,74.669998,75.070000,66.769905,125875700
2014-07-01,75.269997,77.570000,73.540001,73.580002,65.444649,120165500
2014-08-01,73.320000,76.199997,72.769997,75.500000,67.152344,114715100
2014-09-01,75.419998,77.730003,75.410004,76.470001,68.463196,120321400
2014-10-01,76.510002,79.370003,72.610001,76.269997,68.284119,177386600
2014-11-01,76.349998,88.089996,75.589996,87.540001,78.374092,159253200
2014-12-01,86.720001,87.440002,82.650002,85.879997,76.887909,138945800
2015-01-01,86.269997,90.970001,84.900002,84.980003,76.507202,158641500
2015-02-01,84.790001,88.000000,82.550003,83.930000,75.561897,138302700
2015-03-01,83.930000,84.000000,80.540001,82.250000,74.049370,140925000
2015-04-01,82.279999,82.279999,77.550003,78.050003,70.690201,143546400
2015-05-01,78.199997,79.940002,74.150002,74.269997,67.266632,150969800
2015-06-01,74.690002,75.199997,70.779999,70.930000,64.647034,176488600
2015-07-01,71.599998,74.139999,70.360001,71.980003,65.604019,150420400
2015-08-01,71.839996,73.690002,61.500000,64.730003,58.996223,227136600
2015-09-01,63.799999,67.010002,62.919998,64.839996,59.500000,190530900
2015-10-01,64.760002,67.949997,57.160000,57.240002,52.525921,346727100
2015-11-01,57.290001,61.470001,56.299999,58.840000,53.994141,224621800
2015-12-01,59.130001,61.869999,58.320000,61.299999,56.251545,226802600
2016-01-01,60.500000,66.529999,60.200001,66.360001,61.404896,264381000
2016-02-01,65.910004,68.199997,62.349998,66.339996,61.386375,262453800
2016-03-01,66.650002,69.190002,64.879997,68.489998,63.375839,202475600
2016-04-01,68.019997,70.080002,66.360001,66.870003,62.334877,141132900
2016-05-01,66.620003,71.379997,62.720001,70.779999,65.979706,232879900
2016-06-01,70.500000,73.190002,70.150002,73.019997,68.566162,185897000
2016-07-01,73.129997,74.349998,72.419998,72.970001,68.519196,137700800
2016-08-01,72.809998,75.190002,70.889999,71.440002,67.082535,212358400
2016-09-01,71.570000,73.190002,70.300003,72.120003,68.184647,176953900
2016-10-01,71.830002,72.570000,67.070000,70.019997,66.199226,170641400
2016-11-01,69.980003,72.089996,68.120003,70.430000,66.586845,210244500
2016-12-01,70.250000,72.480003,68.830002,69.120003,65.348343,162308500
2017-01-01,69.239998,69.629997,65.279999,66.739998,63.549805,181776100
2017-02-01,66.459999,72.800003,66.040001,70.930000,67.539543,207841500
2017-03-01,70.970001,72.559998,69.330002,72.080002,68.634560,191103100
2017-04-01,72.080002,75.769997,71.379997,75.180000,72.112740,127414200
2017-05-01,75.089996,79.440002,74.959999,78.599998,75.393211,182345800
2017-06-01,78.639999,80.470001,73.290001,75.680000,73.078133,247495300
2017-07-01,75.839996,80.339996,73.129997,79.989998,77.239960,143448100
2017-08-01,80.250000,81.989998,77.500000,78.070000,75.385963,203621200
2017-09-01,78.309998,81.120003,77.730003,78.139999,75.928177,161153600
2017-10-01,77.900002,89.110001,77.500000,87.309998,84.838600,198775100
2017-11-01,87.070000,100.129997,87.000000,97.230003,94.477814,222703100
2017-12-01,97.610001,99.910004,96.139999,98.750000,95.954788,166774100
2018-01-01,99.300003,109.980003,98.519997,106.599998,104.128487,169623300
2018-02-01,105.959999,106.559998,90.000000,90.010002,87.923126,307532700
2018-03-01,90.169998,90.500000,85.279999,88.970001,86.907242,256003000
2018-04-01,88.000000,89.660004,84.839996,88.459999,86.924232,163581800
2018-05-01,87.669998,88.099998,81.779999,82.540001,81.107002,248174200
2018-06-01,83.040001,87.489998,82.370003,85.650002,84.693237,185539500
2018-07-01,85.650002,89.660004,83.400002,89.230003,88.233246,117596900
2018-08-01,88.860001,100.209999,87.620003,95.860001,94.789185,205657200
2018-09-01,95.800003,97.660004,93.690002,93.910004,93.400314,127212500
2018-10-01,94.290001,102.599998,92.889999,100.279999,99.735741,216421000
2018-11-01,99.959999,106.209999,93.309998,97.650002,97.120010,190439900
